protein id,location
AT2G04530.1,chloroplast
AT2G04700.1,chloroplast
AT2G05070.1,chloroplast
AT2G05310.1,chloroplast
AT2G05990.1,chloroplast
AT2G14750.1,chloroplast
AT2G14880.1,chloroplast
AT2G15290.1,chloroplast
AT2G15570.1,chloroplast
AT2G15620.1,chloroplast
AT2G15820.1,chloroplast
AT2G16570.1,chloroplast
AT2G17265.1,chloroplast
AT2G17630.1,chloroplast
AT2G17972.1,chloroplast
AT2G18710.1,chloroplast
AT2G19940.1,chloroplast
AT2G20260.1,chloroplast
AT2G20690.1,chloroplast
AT2G20890.1,chloroplast
AT2G20920.1,chloroplast
AT2G21170.1,chloroplast
AT2G21330.1,chloroplast
AT2G21385.1,chloroplast
AT2G21960.1,chloroplast
AT2G22250.1,chloroplast
AT2G22360.1,chloroplast
AT2G22450.1,chloroplast
AT2G22480.1,chloroplast
AT2G22910.1,chloroplast
AT2G23670.1,chloroplast
AT2G24020.1,chloroplast
AT2G25080.1,chloroplast
AT2G26670.1,chloroplast
AT2G26930.1,chloroplast
AT2G27290.1,chloroplast
AT2G27680.1,chloroplast
AT2G28000.1,chloroplast
AT2G28800.4,chloroplast
AT2G29650.1,chloroplast
AT2G29690.1,chloroplast
AT2G30170.1,chloroplast
AT2G30200.1,chloroplast
AT2G30390.1,chloroplast
AT2G30950.4,chloroplast
AT2G31810.1,chloroplast
AT2G32480.1,chloroplast
AT2G32640.1,chloroplast
AT2G33430.1,chloroplast
AT2G33800.1,chloroplast
AT2G34460.1,chloroplast
AT2G34590.1,chloroplast
AT2G34640.1,chloroplast
AT2G35040.2,chloroplast
AT2G35410.1,chloroplast
AT2G35490.1,chloroplast
AT2G35500.1,chloroplast
AT2G35800.1,chloroplast
AT2G36145.1,chloroplast
AT2G36250.4,chloroplast
AT2G36390.1,chloroplast
AT2G37220.1,chloroplast
AT2G37240.1,chloroplast
AT2G37500.1,chloroplast
AT2G37660.1,chloroplast
AT2G37690.1,chloroplast
AT2G37860.1,chloroplast
AT2G38040.1,chloroplast
AT2G38270.1,chloroplast
AT2G38550.1,chloroplast
AT2G39670.2,chloroplast
AT2G39730.1,chloroplast
AT2G39930.1,chloroplast
AT2G40490.1,chloroplast
AT2G40690.1,chloroplast
AT2G41040.1,chloroplast
AT2G41220.1,chloroplast
AT2G41680.1,chloroplast
AT2G41950.1,chloroplast
AT2G42130.4,chloroplast
AT2G42220.1,chloroplast
AT2G43030.1,chloroplast
AT2G43090.1,chloroplast
AT2G43180.1,chloroplast
AT2G43560.2,chloroplast
AT2G43710.1,chloroplast
AT2G43750.1,chloroplast
AT2G43945.1,chloroplast
AT2G44040.1,chloroplast
AT2G44050.1,chloroplast
AT2G44530.1,chloroplast
AT2G44650.1,chloroplast
AT2G44870.1,chloroplast
AT2G44920.2,chloroplast
AT2G45290.1,chloroplast
AT2G45300.1,chloroplast
AT2G45440.1,chloroplast
AT2G45770.1,chloroplast
AT2G45990.1,chloroplast
AT2G46910.1,chloroplast
AT2G47450.1,chloroplast
AT2G47840.1,chloroplast
AT2G47940.2,chloroplast
AT2G48070.3,chloroplast
AT2G48120.1,chloroplast
AT3G01060.1,chloroplast
AT3G01120.1,chloroplast
AT3G01180.1,chloroplast
AT3G01480.1,chloroplast
AT3G01510.1,chloroplast
AT3G02450.1,chloroplast
AT3G02630.1,chloroplast
AT3G02900.2,chloroplast
AT3G03630.1,chloroplast
AT3G03710.1,chloroplast
AT3G03890.1,chloroplast
AT3G04260.1,chloroplast
AT3G04340.1,chloroplast
AT3G04790.1,chloroplast
AT3G04870.1,chloroplast
AT3G05020.1,chloroplast
AT3G05625.2,chloroplast
AT3G06350.1,chloroplast
AT3G07630.1,chloroplast
AT3G07670.1,chloroplast
AT3G08640.1,chloroplast
AT3G08740.1,chloroplast
AT3G08940.1,chloroplast
AT3G10050.1,chloroplast
AT3G10130.1,chloroplast
AT3G10230.1,chloroplast
AT3G10350.1,chloroplast
AT3G10670.1,chloroplast
AT3G10840.1,chloroplast
AT3G10940.1,chloroplast
AT3G11170.1,chloroplast
AT3G11630.1,chloroplast
AT3G12080.1,chloroplast
AT3G12345.1,chloroplast
AT3G12780.1,chloroplast
AT3G13070.1,chloroplast
AT3G13120.1,chloroplast
AT3G13470.1,chloroplast
AT3G14110.3,chloroplast
AT3G14390.1,chloroplast
AT3G14930.1,chloroplast
AT3G15110.1,chloroplast
AT3G15360.1,chloroplast
AT3G15520.1,chloroplast
AT3G16000.1,chloroplast
