ID1,ID2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11
A0A1P8ANL9,AT1G56060.2,0.69773,0.40682,1,0.33068,0.56591,0.07727,0.07159,0,0,0,0.06705
A0A1P8AP14,AT1G76320.3,0.03289,0.05123,0.04988,0.03775,0.08008,0.03775,0,0.04179,0.19871,1,0.30305
A0A1P8APH6,AT1G01220.4,0.37651,0.04211,0.26246,0.18825,0,0.60437,0.93148,0.62713,1,0.72957,0.41862
A0A1P8AVS8,AT1G78635.1,0.14769,0.06584,0.10706,0.0688,0.09727,0,0.00415,0.01097,0.30457,0.32177,1
A0A1P8B152,AT2G44140.4,0.70286,0.29429,0.69429,0.21714,0.15714,0.68,0,1,0.93429,0.25429,0.18
A0A1P8B1V3,AT2G46070.3,0.18093,0.07854,0.10028,0.19355,0,0.29944,0.81978,0.29734,1,0.18934,0.52034
A0A1P8B2Y4,AT2G30800.2,0.01635,0.00382,0.01508,0,0.00255,0.00934,0.00085,0.02761,0.18305,1,0.51986
A0A1P8B4W0,AT4G19530.1,0.00917,0.0894,0.01633,0.16418,0.0235,0.89083,0.03496,1,0,0.24585,0.01862
A0A1P8B686,AT4G12670.2,0.62671,0.74315,1,0.80822,0.41781,0.26712,0,0.17123,0.05822,0.63014,0.34932
A0A1P8B6B5,AT4G19650.2,0.15605,0.04777,0.24841,0.29936,0.03822,0.97134,1,0.92038,0,0.35032,0.16879
A0A1P8B9K5,AT5G50443.1,0.06061,0.0651,0.06734,0.26038,0.10101,0.53311,1,0.62065,0,0.17621,0.09315
A0A1P8BBD3,AT5G59960.2,0.71636,0.82124,1,0.66804,0.98158,0.11636,0.02925,0.06912,0,0.01408,0.01452
A0A1P8BBI3,AT5G57630.2,0.62864,1,0.74185,0.74871,0.5669,0.1801,0.06089,0.18696,0,0.17324,0.29417
A0A1P8BBM9,AT5G27660.2,0,0.05033,0.01635,0.2058,0.02551,0.38475,1,0.30223,0.07625,0.13053,0.00365
A0A1P8BD42,AT5G17440.2,0.04414,0.01365,0.03076,0.04631,0.0038,0.03904,0,0.09812,0.02967,1,0.08467
A0A1R7T3L3,AT5G25790.3,0.48746,0.69993,0.55798,0.67848,1,0.07288,0.03671,0.0498,0,0.13359,0.09796
F4HQH8,AT1G01080.2,0.01554,0.02123,0.00961,0.08893,0,0.93732,0.0366,1,0.01051,0.23084,0.04514
O24457,AT1G01090.1,0.04615,0.04194,0.01712,0.12243,0,0.92536,0.02404,1,0.04995,0.10223,0.02237
Q8LCW9,AT1G01100.1,1,0.38074,0.39333,0.40864,0.36214,0.07713,0,0.10503,0.00383,0.16685,0.11597
Q2HIQ2,AT1G01170.1,0.02857,0.07427,0.01643,0.28378,0.03912,0.56244,1,0.41921,0.01464,0.03637,0
Q39056,AT1G01290.1,0.02606,0.02332,0,0.21029,0.00611,0.76743,1,0.65645,0.00189,0.05617,0.01858
Q9LNJ3,AT1G01300.1,0.25103,0.40503,0.35087,0.25258,0.46047,0.00127,0,0.01853,0.18682,0.14354,1
Q8GX84,AT1G01350.1,0.0422,0.02569,0.03143,0.0303,0.01953,0.00923,0,0.05007,0.02841,1,0.0445
Q8RVQ9,AT1G01370.1,0.03306,0.20617,0.14311,0.27789,0.15918,0.13075,0.03924,0.05161,0,1,0.01204
Q6NQ63,AT1G01440.1,0.99096,0.16566,1,0.24699,0.23193,0.04217,0,0.12952,0.69277,0.28012,0.43976
O03983,AT1G01470.1,0.35947,0.31931,0.39762,0.3173,0.36549,0.02148,0,0.05332,1,0.28182,0.3434
O23702,AT1G01510.1,1,0.48878,0.98267,0.31981,0.38795,0.02087,0,0.03387,0.48365,0.25089,0.85939
Q3EDL4,AT1G01540.2,0.98138,0.90465,1,0.74943,0.52444,0.16406,0.03522,0.34378,0,0.05102,0.16968
Q9LMM4,AT1G01570.2,0.10937,0.28091,0.104,0.30679,0.22009,0.1959,1,0.19187,0,0.05544,0.04234
Q08733,AT1G01620.1,1,0.46445,0.94387,0.3175,0.36756,0.0305,0.0309,0.01015,0,0.00584,0.00567
Q9LQ96,AT1G01630.1,0.37148,1,0.50695,0.6657,0.97349,0.05593,0.1429,0.01649,0.28322,0,0.48076
A0A2H1ZE92,AT1G01640.2,1,0.22744,0.94585,0.24188,0.26715,0.01805,0.01805,0,0.18773,0.04332,0.98917
Q0WMJ8,AT1G01650.1,0.46221,1,0.51957,0.45749,0.91768,0.04453,0,0.04116,0.2996,0.50202,0.41228
F4HU51,AT1G01710.1,0.03111,0.23478,0.02102,0.66385,0.04431,0.6254,0.18703,1,0,0.18554,0.0841
Q9LQ84,AT1G01725.1,0.21329,0.12798,0.21528,0.29117,0.06746,0.61458,1,0.54861,0.0718,0.09276,0
F4HU58,AT1G01760.1,0.07041,0.20525,0.13007,0.28878,0.14916,0.69749,0.01671,1,0,0.10263,0.10263
Q94K30,AT1G01800.1,0.2984,0.06518,0.2438,0.08696,0.05233,0.01906,0.00287,0.01815,1,0,0.1647
Q9LQ73,AT1G01820.1,0.08365,0.59369,0.09738,1,0.15438,0.60726,0.20006,0.78725,0.02417,0.08478,0
Q949M9,AT1G01910.1,1,0.45518,0.81575,0.29926,0.43611,0.00582,0,0.01259,0.51144,0.00296,0.16536
Q9LPC8,AT1G01930.1,0.74286,0.09333,0.5219,0.07619,0.24762,0.09143,0,0.00762,0.7981,1,0.73905
Q9LPC7,AT1G01940.1,0.08363,0.07859,0.09193,0.06092,0.11932,0,0.04434,0.02235,0.49279,1,0.10166
A0A1P8AMI8,AT1G01950.4,1,0.32912,0.87811,0.28388,0.29672,0.02687,0,0.06361,0.1367,0.65923,0.18589
Q9LPC5,AT1G01960.1,0.29905,0.13767,0.28992,0.12378,0.14755,0,0.05481,0.02192,0.67559,0.31338,1
Q9LPC2,AT1G01990.1,0.872,0.472,1,0.484,0.472,0.904,0.072,0.976,0,0.292,0.208
Q9LPC1,AT1G02000.1,0.29241,0.84493,0.46061,0.39886,1,0.03229,0.0511,0,0.23705,0.27147,0.17353
