ID1,ID2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
Q9SM08,AT1G58370.2,0.01326,0.00798,0,0.01258,0.03865,0.05831,1,0.00348,0.04078,0.00281
Q8VZ10-4,AT1G56500.4,0.31322,1,0,0.20796,0.4249,0.03209,0.11297,0.05135,0.92298,0.20282
P92965-3,AT4G25500.3,0.00195,0,0.00579,0.00356,0.03616,0.12684,1,0.00759,0.02387,0.0018
O04567-2,AT1G27190.2,0.71875,1,0,0.84375,0.71875,0,0,0.625,0.9375,0
F4J076,AT3G22260.2,0.38561,0.72555,0.20638,0.07928,0.66695,0.14132,0.21284,0,1,0.27208
cRAP112,cRAP112,0.40414,1,0.59652,0.68303,0.79339,0,0.78107,0.57835,0.76439,0.52771
cRAP106,cRAP106,0.57078,0.39269,0.29224,0.38813,0.53425,0,0.39726,0.19635,1,0.29224
cRAP099,cRAP099,0.48839,0.53285,0.08825,0.07167,0.55806,0.79894,0.3152,0,1,0.48308
cRAP087,cRAP087,0.4326,1,0.29562,0.12303,0.52674,0,0.00748,0.08584,0.69876,0.25224
cRAP079,cRAP079,0.71649,1,0.47938,0.62371,0.33505,0.53093,0.36082,0.57732,0.81959,0
cRAP073,cRAP073,0.00352,0.01931,0.01834,0.10174,0.01006,0.00573,0.025,0,1,0.00099
cRAP072,cRAP072,0,0.01904,0.00841,0.12742,0.00505,0.01473,0.03093,0.08149,1,0.00039
cRAP071,cRAP071,0.14865,0.48569,0.30048,0.87917,0.36566,0,0.01272,0.02782,1,0.11447
cRAP070,cRAP070,0,0.02888,0.00072,0.17184,0.03682,0.03827,0.02816,0.02888,1,0
cRAP069,cRAP069,0.02924,0.02277,0.02205,0.13444,0.01749,0.02229,0.03882,0,1,0.01486
cRAP063,cRAP063,0.00231,0.00149,0.01474,0.00258,0.00421,0.00602,0.0346,0,1,0.00217
cRAP060,cRAP060,0,0,0.00152,0,0,0,0.0204,0,1,0.00555
cRAP059,cRAP059,0.00126,0.00073,0.00632,0.00941,0.00272,0.00272,0.03738,0,1,0.00276
cRAP057,cRAP057,0.00129,0.00383,0.05846,0.0148,0.0056,0,0.02561,0.00888,1,0.00161
cRAP056,cRAP056,0.00175,0.00612,0.05492,0.00613,0.00402,0.00351,0.02931,0,1,0.00054
cRAP055,cRAP055,0.02594,0.02864,0.10793,0,0.03591,0.0166,0.03196,0,1,0.01536
cRAP054,cRAP054,0.58378,1,0.3219,0.66849,0.48097,0,0.10886,0.45132,0.94076,0.1353
cRAP053,cRAP053,0.45464,1,0.266,0.71976,0.56615,0,0.079,0.62839,0.80363,0.05145
cRAP052,cRAP052,0,0.00631,0.07778,0.0054,0.00656,0.00189,0.03216,0.00282,1,0.00151
