ID1,ID2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11
A0A1P8ANL9,AT1G56060.2,0.88,0.73867,1,0.69956,0.776,0.10933,0.17156,0.19289,0.216,0,0.01778
A0A1P8AUN8,AT1G16916.2,0.17136,0.39202,0.19014,0.23709,0.30986,0.6338,1,0.223,0.4507,0,0.23474
A0A1P8AVS8,AT1G78635.1,0.15817,0.12201,0.06068,0.16333,0.06133,0.0226,0.01872,1,0.35507,0.15946,0
A0A1P8B1V3,AT2G46070.3,0.35417,0.10577,0.24439,0.14103,0.08894,0.02644,0,0.28846,1,0.16426,0.00641
A0A1P8B2Y4,AT2G30800.2,0.07406,0.03438,0.05677,0.0352,0.01994,0.01017,0,0.48708,0.1762,1,0.02035
A0A1P8B8Z0,AT4G03620.2,0,0,0,0,0,0.81818,0.72727,1,0,0,0.95455
A0A1P8BA66,AT5G14210.2,0.75829,0.42654,0.78199,1,0.92891,0.07583,0.1327,0.06161,0,0.46919,0.30806
A0A1P8BBD3,AT5G59960.2,0.50858,1,0.63807,0.76521,0.79953,0.12871,0.0858,0.0702,0.1014,0,0.02964
A0A1P8BBL8,AT5G47430.5,0.10202,0.26726,0.13779,0.22706,0.22207,0.04159,0.01553,0.12808,0.02689,1,0
A0A1P8BBM9,AT5G27660.2,0.02089,0.01373,0.01283,0.14269,0.08619,0.52702,1,0.02574,0,0.10165,0.27223
F4HQG4,AT1G01020.2,0.46099,1,0.21277,0.8227,0.75887,0.10638,0,0,0,0.19858,0
F4HQH8,AT1G01080.2,0.00683,0,0.00118,0.09364,0.03323,0.808,0.00699,0.06945,0.03865,0.33844,1
O24457,AT1G01090.1,0.03577,0,0.04091,0.14317,0.04793,0.84973,0.02606,0.04842,0.06402,0.13137,1
Q8LCW9,AT1G01100.1,0.94668,0.19102,1,0.8201,0.61949,0.19333,0.02148,0.06521,0,0.29114,0.07518
Q2HIQ2,AT1G01170.1,0.02487,0.00114,0,0.15275,0.07143,0.61551,1,0.0009,0.03817,0.0202,0.32127
Q9LNJ9,AT1G01220.1,0.35156,0.04735,0.2283,0.10748,0.09796,0.03347,0.02612,0.37959,1,0.91238,0
Q39056,AT1G01290.1,0.10492,0,0.08529,0.19156,0.0722,0.80235,1,0.1963,0.52911,0.20645,0.41291
Q9LNJ3,AT1G01300.1,0.06746,0.22496,0.07472,0.16005,0.18485,0.05734,0.04729,1,0.22297,0.16794,0
Q8GX84,AT1G01350.1,0.02605,0.01672,0.03451,0.0358,0.03151,0.02583,0,0.04652,0.00289,1,0.02219
Q8RVQ9,AT1G01370.1,0.06236,0.10913,0.08463,0.25056,0.17038,0.16036,0.06347,0,0.00445,1,0.07461
O03983,AT1G01470.1,0.2671,0.31007,0.2601,0.25251,0.30859,0.02484,0.05322,0.19781,1,0,0.0207
O23702,AT1G01510.1,1,0.26207,0.66621,0.55862,0.39034,0.22345,0,0.60966,0.44138,0.37517,0.26897
Q3EDL4,AT1G01540.2,0.83199,0.53162,0.77353,1,0.94191,0.16949,0.01397,0.25221,0,0.06176,0.32574
Q9LMM4,AT1G01570.2,0.08392,0.8697,0.12898,0.62853,1,0.10247,0.06979,0.40945,0,0.0689,0.04329
P92949,AT1G01580.1,1,0.5348,0.86157,0.91982,0.84191,0.10741,0.03858,0.00681,0,0.20121,0.56051
Q08733,AT1G01620.1,1,0.45889,0.81818,0.50634,0.6,0.1067,0.09215,0.01375,0,0.01233,0.04692
Q9LQ96,AT1G01630.1,0.94851,0.4016,1,0.56178,0.63501,0.15904,0.10412,0.3833,0.59382,0,0.13043
F4HU51,AT1G01710.1,0.0186,0.04753,0,0.73171,0.32823,1,0.18262,0.06172,0.00658,0.26191,0.93631
Q9LQ84,AT1G01725.1,0.02018,0.02384,0.02096,0.12878,0.06655,0.57487,1,0,0.00537,0.00249,0.28167
Q9LQ83,AT1G01730.1,0.02354,0,0.02568,0.01605,0.00696,0.03585,0.0198,0.05618,0.16907,1,0.04601
Q9ZTZ7,AT1G01790.1,0.00318,0.00477,0,0.2814,0.13355,0.91892,0.01113,0.00795,0.0938,0.33545,1
Q94K30,AT1G01800.1,0.29686,0.06632,0.22384,0.0881,0.11731,0,0.02993,0.1628,1,0.0328,0.00622
Q9LQ73,AT1G01820.1,0.07327,0.22042,0.10114,1,0.52502,0.95791,0.33401,0.00071,0,0.04387,0.81741
Q949M9,AT1G01910.1,1,0.54516,0.79762,0.52784,0.62037,0.01002,0,0.15059,0.51426,0.05008,0.018
Q9LPC8,AT1G01930.1,0.50331,0.35762,0.36424,0.04636,0.07947,0,0.31126,0.82119,1,0.84106,0.06623
Q9LPC7,AT1G01940.1,0.02713,0.10436,0.00864,0.06301,0.06454,0,0.01947,0.06137,0.43573,1,0
F4HU85,AT1G01950.2,1,0.361,0.77408,0.4213,0.48512,0.05051,0.05247,0.10807,0.14526,0.31441,0
A0A1P8AMI8,AT1G01950.4,0.47957,0.10753,0.4129,0.18925,0.24946,0.11828,0.07527,0.2043,0,1,0.01075
Q9LPC5,AT1G01960.1,0.43779,0.26839,0.408,0.27569,0.26172,0.05247,0.04553,1,0.87148,0.64939,0
Q9LPC4,AT1G01970.1,1,0.625,0.61986,0.5839,0.625,0.05822,0.16781,0.39726,0,0.07192,0.08219
O23673,AT1G02020.1,0.03953,0.01942,0,0.14216,0.07975,0.87725,1,0.01595,0.05548,0.03467,0.56172
F4HVV7,AT1G02080.2,0.43321,0.06642,0.29121,0.08369,0.08574,0.03814,0,0.55176,1,0.48997,0.03714
Q94JU3,AT1G02090.1,0.36903,0.06712,0.24354,0.05145,0.08161,0,0.01619,0.49334,0.98133,1,0.01019
Q56W45,AT1G02110.1,0.96435,0.55159,1,0.78236,0.97373,0.13884,0.47092,0.72795,0.13321,0.37899,0
F4HVW5,AT1G02120.1,0.6531,1,0.68193,0.74812,0.8486,0.05322,0.02243,0.09024,0.03804,0.02525,0
P28188,AT1G02130.1,0.50916,1,0.69721,0.52117,0.64148,0.07128,0.04234,0.0527,0.05965,0,0.00948
O23676,AT1G02140.1,0.03862,0.01916,0.03319,0.02014,0.02004,0.00217,0.01087,0.18431,0.35822,1,0
A8MR93,AT1G02145.1,0.40649,1,0.43506,0.73766,0.71558,0.10649,0.00779,0.07662,0.01299,0.07662,0
Q8LPS6,AT1G02150.1,0.02395,0.02066,0.02198,0.11427,0.04318,0.71377,0,0.04549,0.0745,0.51665,1
Q8VZ44,AT1G02160.1,0.0581,0.02332,0.01612,0.11408,0.05725,0.49194,1,0.04835,0,0.03011,0.21459
Q7XJE6,AT1G02170.1,0.54393,0.25607,0.43925,0.54206,0.62243,0.26168,0,0.20561,0.61869,1,0.26729
A0A1P8ATK3,AT1G02270.2,0.31976,1,0.3798,0.62565,0.72731,0.31044,0.7894,0,0.19832,0.00478,0.06163
O23680,AT1G02280.1,0.09088,0.15563,0.20916,0.61957,0.38171,0.83278,0.01343,0,0.12215,0.29341,1
Q93VC9,AT1G02305.1,0.70109,1,0.68577,0.8345,0.98439,0.12226,0.04896,0.75974,0.62207,0.46481,0
