ID1,ID2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
Q9SM08,AT1G58370.2,0,0.0002,0.03753,0.0404,1,0.02269,0.02775,0.13756,0.02116,0.01918
Q9FKS8-2,AT5G40780.2,0.88183,0.68845,0.67502,0.16294,0.04834,1,0,0.14324,0.51388,0.35654
O04567-2,AT1G27190.2,1,0.44966,0.67785,0.79866,0.09396,0.71812,0,0.16107,0.54362,0.10744
F4J076,AT3G22260.2,0.60321,0.71743,1,0.00846,0.76565,0.99577,0.47462,0.09729,0.81049,0.01856
cRAP112,cRAP112,0.55189,0.78466,0.9192,0.6629,1,0.5252,0,0.53484,0.56208,0.83328
cRAP109,cRAP109,0.00401,0.20475,0.00067,0.03479,0.09368,0,1,0.11576,0.02375,0
cRAP106,cRAP106,0.7874,0.43937,0.35827,0.13701,1,0.61969,0.49843,0.12598,0,0
cRAP099,cRAP099,0.35211,0.05164,0.0892,0.04382,0.41393,0.11659,1,0.76135,0,0.01311
cRAP087,cRAP087,0.35603,0.13567,0.16352,0.20041,0.16946,0.22225,0,0.08099,0.17346,0
cRAP079,cRAP079,0.009,0.01382,0.00193,0,0.03213,0.00739,1,0.02506,0.02731,0.03894
cRAP078,cRAP078,0,0.01918,0.042,0.02927,1,0.01819,0.0162,0.00876,0.04134,0.00799
cRAP072,cRAP072,0.00736,0,0.10116,0.01899,0.05039,0.02674,0.01357,1,0.0093,0.76679
cRAP071,cRAP071,0.57959,0.44898,0.58776,0.95102,0.32245,1,0,0.77551,0.40408,0.74696
cRAP063,cRAP063,0.27782,0.2328,0.20816,0,0.01699,0.16058,0.03483,1,0.09516,0.03846
cRAP059,cRAP059,0,0,0.02378,0,0,0.02432,0.00432,1,0,0
cRAP057,cRAP057,0.01484,0,0.28287,0.00967,0.01571,0.03817,0.02527,1,0.0117,0.3522
cRAP056,cRAP056,0.00153,0.00257,0.19402,0.01102,0.03414,0.03259,0.01405,1,0,0.08704
cRAP055,cRAP055,0.01858,0.04523,1,0.02181,0.05654,0.02746,0.02908,0.97254,0,0
cRAP054,cRAP054,1,0.67144,0.40467,0.27318,0.51402,0.67682,0.26667,0.04087,0,0.17755
cRAP053,cRAP053,0.79125,0.78367,0.46176,0.48583,0.73083,1,0.02583,0.02971,0,0
cRAP052,cRAP052,0.17873,0.09773,0.73137,0.00378,0.09719,0.14984,0.01296,1,0.05238,0.24079
cRAP051,cRAP051,0.00345,0,0.40392,0.01016,0.03897,0.03843,0.01901,1,0.01027,0
cRAP050,cRAP050,0.04148,0.03111,0.21225,0,0.00907,0.08004,0.01231,1,0.04828,0
cRAP047,cRAP047,0.14029,0.09943,0.37471,0,1,0.13514,0.36114,0.34371,0.06343,0
cRAP045,cRAP045,0.01139,0.02603,0.12403,0,0.02033,0.06751,0.00366,1,0.06385,0
cRAP043,cRAP043,0.15898,0.23895,1,0.00282,0.04798,0.619,0.04704,0.4111,0.51364,0.00262
cRAP041,cRAP041,1,0.58772,0.36335,0.2325,0.27888,0.47153,0.04968,0.02863,0,0
cRAP040,cRAP040,1,0.33807,0.08023,0.11408,0.61805,0.23611,0.37443,0.13957,0,0
cRAP039,cRAP039,1,0.9173,0.62691,0.28856,0.78901,0.70715,0.63475,0.14026,0,0.5719
cRAP031,cRAP031,0,0.09153,0.02059,0.22426,0.19222,0.18993,1,0.07551,0.11899,0.01756
cRAP018,cRAP018,0.44586,1,0.34395,0.42675,0.92357,0.88535,0.70064,0.3121,0,0.03988
cRAP016,cRAP016,0.03814,0.16446,0.00867,0.07367,0.16685,0,1,0.00022,0.04095,0
cRAP015,cRAP015,0.06705,0.14314,0.09576,0.24706,0.16566,0.0506,1,0,0.03662,0.64732
cRAP014,cRAP014,0.25698,0.57821,0.39106,1,0.81564,0.15922,0.62291,0,0.1676,0.00189
cRAP013,cRAP013,0.0409,0.27331,0.17418,0.57834,0.37608,0.00624,0.62478,0,0.01231,0.33722
cRAP002,cRAP002,0.09185,0.03508,0.01758,0,0.07358,0.18114,1,0.00948,0.1102,0.05679
P60620,ATMG01360.1,0.10771,0.10067,0.16187,0.17625,0.03794,0.16738,0,1,0.19094,0.87661
P92549,ATMG01190.1,0.09047,0.02627,0.02504,0.15576,0.25953,0.04325,0,1,0.04156,0
Q04613,ATMG00640.1,0.04341,0.0356,0.09951,0.27815,0.05528,0.07847,0,1,0.11134,0.62086
P93313,ATMG00580.1,0.03381,0.03038,0.09779,0.31262,0.03614,0.06841,0,1,0.12832,0
P93306,ATMG00510.1,0.06957,0.03306,0.06294,0.29436,0.55108,0.06465,0,1,0.06046,0.84434
O05000,ATMG00285.1,0.02166,0.03052,0.08487,0.39563,0.04395,0.07071,0,1,0.1036,0.00116
P60497,ATMG00270.1,0.01551,0.02224,0.08546,0.38455,0.05268,0.0717,0,1,0.10945,0
P42793,ATMG00210.1,0.16989,0.05655,0.09377,0.32355,1,0.10356,0,0.99356,0.0859,0.00486
P93286,ATMG00180.1,0.01094,0,0.06296,0.30443,0.04684,0.06015,0.06555,1,0.12088,0
P93285,ATMG00160.1,0.01477,0.01673,0.06785,0.24188,0.03813,0.06595,0,1,0.09433,0.32079
Q95749,ATMG00090.1,0.04444,0.01394,0.05963,0.13539,0.28135,0.06366,0,1,0.08538,0
Q95747,ATMG00080.1,0.0206,0,0.05256,0.13292,0.10623,0.0542,0.00644,1,0.07275,0
Q95748,ATMG00070.1,0.11193,0.04076,0.06081,0.11597,0.45423,0.08132,0,1,0.08369,0
P29388,ATMG00060.1,0.00284,0.00195,0.05525,0.47699,0.08119,0.05987,0,1,0.10783,0
P56805,ATCG01120.1,0,0.03897,0.05051,1,0.46747,0.07326,0.16257,0.25188,0.04466,0.23746
P62090,ATCG01060.1,0,0.02573,0.08298,1,0.44568,0.08573,0.02063,0.32052,0.08146,0
P61847,ATCG01020.1,0.00492,0,0.02712,1,0.35545,0.03878,0.03274,0.21327,0.02911,0
P56785,ATCG01000.1,0,0.05493,0.42497,1,0.30672,0.23854,0.05034,0.43135,0.41269,0.00809
P62126,ATCG00905.1,0,0.00769,0.02469,1,0.40874,0.04097,0.04767,0.4896,0.04206,0.02339
P61841,ATCG00900.1,0,0.0271,0.04882,1,0.50316,0.06421,0.06392,0.27363,0.05996,0.8186
P56786,ATCG00860.1,0.04768,0.10088,0.4805,1,0.29722,0.29253,0,0.4648,0.48334,0.14196
P61845,ATCG00840.1,0,0.01963,0.02005,1,0.36466,0.04052,0.00752,0.20384,0.02381,0.03625
P56791,ATCG00830.1,0,0.02384,0.04643,1,0.3853,0.06508,0.14527,0.27773,0.0549,0.71494
P56808,ATCG00820.1,0,0.00115,0.04872,1,0.6056,0.07374,0.25103,0.36955,0.07638,0
P56795,ATCG00810.1,0,0.04347,0.04241,1,0.57228,0.0456,0.04119,0.27238,0.05122,0
P56798,ATCG00800.1,0,0.01935,0.0387,1,0.56227,0.06777,0.00917,0.20833,0.03478,0.03551
P56793,ATCG00790.1,0.00824,0.0316,0.05927,1,0.18696,0.07745,0,0.2423,0.06443,0.45313
P56792,ATCG00780.1,0,0.0208,0.03341,1,0.46528,0.07762,0.05648,0.2323,0.02989,0.01422
P56801,ATCG00770.1,0.07623,0.06951,0.06951,1,0.75112,0.07578,0,0.18117,0.03946,0.40558
P62117,ATCG00760.1,0.06458,0.05625,0.19375,1,0.30625,0.18542,0,0.35,0.08125,0.0201
P56802,ATCG00750.1,0,0.02885,0.04092,1,0.45207,0.05769,0.05069,0.24985,0.05337,0.33552
P56762,ATCG00740.1,0,0.03127,0.01944,1,0.53999,0.0869,0.00047,0.26151,0.02401,0.68068
P56774,ATCG00730.1,0.01448,0.05906,0.17087,1,0.0667,0.10018,0,0.30355,0.22309,0
P56773,ATCG00720.1,0,0.00998,0.10565,1,0.10387,0.08605,0.02209,0.24069,0.10351,0.0041
P56780,ATCG00710.1,0.00084,0.03607,0.12719,1,0.33601,0.07699,0,0.33094,0.16389,0.07455
P56777,ATCG00680.1,0,0.05933,0.22105,1,0.47751,0.1311,0.03668,0.45933,0.21818,0
P56772,ATCG00670.1,0,0.0137,0.0629,1,0.13688,0.08399,0.02657,0.28091,0.04992,0.80696
P56794,ATCG00660.1,0.04274,0.05526,0.08247,1,0.42804,0.08683,0,0.26206,0.0705,0
P56807,ATCG00650.1,0,0.03222,0.03763,1,0.39635,0.0498,0.08517,0.27039,0.05656,0.81111
P56796,ATCG00640.1,0,0.10249,0.28116,0.9349,0.5554,0.3241,0.29363,0.67313,0.30471,0
