ID1,ID2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
Q9SM08,AT1G58370.2,0.03959,0,0.1775,0.01614,0.04303,0.05809,1,0.03679,0.02173,0.03356
Q9FKS8-2,AT5G40780.1,0.50829,1,0.11371,0.04423,0.78142,0,0.0481,0.03373,0.50037,0.37965
Q94AF2-2,AT5G19150.2,0.35651,0.39813,0.02315,0.06995,0.38409,1,0,0.05407,0.33177,0.21193
Q93V72-2,AT1G69295.1,0.83333,0.84921,0.07937,0.34921,0.69048,0,1,0.07937,0.51587,0.59524
Q8S9M1-3,AT2G42130.3,0.03013,0.03578,0.04773,1,0.0365,0.07124,0.0118,0.75449,0,0.03433
F4J076,AT3G22260.2,1,0.75,0.38564,0.1516,0.92021,0,0.93617,0.18883,0.72074,0.65957
F4HXR6,AT1G08840.1,0.20622,0.23756,0.02884,0.03242,0.23615,1,0,0.03817,0.1377,0.12848
cRAP112,cRAP112,0.12237,0.65468,0.34775,0.53718,0.6393,0.09239,1,0,0.13543,0.00874
cRAP106,cRAP106,0.48221,0.72727,0.44269,0.23715,1,0,0.4664,0.29249,0.70751,0.3083
cRAP099,cRAP099,0,0.22976,0.35405,1,0.22976,0.12241,0.27119,0.62712,0.21281,0.11299
cRAP087,cRAP087,0.01138,0.02097,0.0104,0.01514,0.01207,0.00866,0.02778,0,1,0.01181
cRAP079,cRAP079,0.5,0.87931,0.15517,0.17241,0.67241,0.58621,0.7931,0.10345,0,1
cRAP071,cRAP071,0.34162,0.95787,0.35635,0.70102,1,0,0.31827,0.23807,0.94772,0.26091
cRAP068,cRAP068,0.02729,0.07253,0.00866,0.04068,0.06316,0.0149,0.06175,0,1,0.01426
cRAP059,cRAP059,0.00108,0.02017,0.00396,0.02341,0.0162,0.0072,0.07562,0.02161,1,0
cRAP057,cRAP057,0.04497,0.04085,0.03227,0.03399,0.04463,0,0.08033,0.03296,1,0.03639
cRAP056,cRAP056,0.00332,0.01202,0.02928,0.03107,0.00933,0.00959,0.03439,0.02161,1,0
cRAP054,cRAP054,0.22222,1,0.30071,0.79448,0.62802,0,0.17902,0.12692,0.94824,0.15493
cRAP053,cRAP053,0.22247,0.93173,0.43527,0.80005,1,0,0.23913,0.1449,0.6032,0.30431
cRAP052,cRAP052,0.07803,0.12717,0.09827,0.0896,0.08671,0,0.06647,0.05202,1,0.01156
cRAP051,cRAP051,0.00553,0.00403,0.00116,0.01236,0.00839,0.01178,0.0217,0.00791,1,0
cRAP049,cRAP049,0.01246,0.09813,0,0.02648,0.10592,0.08255,0.08879,0.08567,1,0.06542
cRAP044,cRAP044,0.30932,0.51695,0.11653,0.02331,0.2839,0.00847,0,0.08686,1,0.18008
cRAP041,cRAP041,0.17075,0.86733,0.12953,0.58267,0.39997,0,0.18059,0.09264,1,0.06157
cRAP040,cRAP040,0.19633,0.72633,0.14626,0.6936,1,0.04115,0.10263,0.00942,0.84482,0
cRAP039,cRAP039,0.05875,1,0.32334,0.77478,0.76303,0,0.10791,0.02747,0.48081,0.12313
