ID1,ID2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11
A0A1P8ANM1,AT1G63260.4,0.62016,0.86949,0.88659,0.75608,1,0.27903,0.46895,0.06031,0,0.06571,0.30243
A0A1P8AP14,AT1G76320.3,0.12926,0.08318,0.13525,0.0012,0.02334,0,0.02454,0.2681,0.29443,1,0.0018
A0A1P8APH6,AT1G01220.4,0.77511,0.41355,0.77215,0,0.21603,0.0512,0.11934,0.2883,1,0.44072,0.04667
A0A1P8AV03,AT1G08260.2,0.04659,0.00778,0.03325,0,0.01496,0.07074,0.09787,0.34925,0.16876,1,0.05593
A0A1P8B1V3,AT2G46070.3,0.42433,0.39247,0.54888,0.19044,0.25706,0.00724,0.07169,0.30992,1,0.17451,0
A0A1P8B4W0,AT4G19530.1,0.90105,0.57745,1,0.29765,0.41525,0.03244,0.10949,0.49473,0.3455,0.618,0
A0A1P8B653,AT4G25570.2,1,0.55801,0.92918,0.1336,0.19036,0.06128,0.13461,0.45505,0,0.00552,0.03415
A0A1P8B8Z0,AT4G03620.2,0.86029,0.46324,0.75,0,0.15441,0,0,1,0,0.22059,0.125
A0A1P8BB04,AT5G53850.4,0.81459,0.43615,0.8214,0.05952,0.17404,0.08317,0,0.37264,1,0.07351,0.17204
A0A1P8BEY1,AT5G59865.1,0.04742,0.00427,0.02987,0.09341,0.06875,0.88099,1,0.03367,0.0147,0,0.71503
A0A2H1ZE46,AT2G43140.1,1,0.43423,0.79081,0.24564,0.2187,0.05547,0.06498,0.97147,0.28209,0,0.12995
A0A2H1ZED4,AT1G48300.1,0.15652,0.26087,0.29565,0.86957,1,0.14783,0.57391,0,0,0,0.11304
F4HQH8,AT1G01080.2,0.06462,0.03754,0.03834,0.02431,0.02849,0.63567,0.20457,0.05939,0,0.24666,1
O24457,AT1G01090.1,0.04417,0.02094,0.02003,0.00556,0,0.54594,0.08388,0.02583,0.04207,0.06986,1
Q8LCW9,AT1G01100.1,0.9541,0.34651,0.68377,0.37943,0.51904,0.05491,0.16388,1,0.1115,0.31827,0
Q2HIQ2,AT1G01170.1,0.03047,0,0.01213,0.07116,0.0406,0.81653,1,0.0281,0.0448,0.02363,0.69674
Q39056,AT1G01290.1,0.0424,0,0.015,0.07208,0.03849,0.94418,1,0.01981,0.003,0.03943,0.89452
Q9LNJ3,AT1G01300.1,0,0.11401,0.05035,0.26567,0.26191,0.05263,0.09553,1,0.12715,0.12242,0.00543
Q8GX84,AT1G01350.1,0.02748,0.01166,0.02923,0,0.03016,0.01528,0.01689,0.04049,0.02038,1,0.0055
Q8RVQ9,AT1G01370.1,0.27659,0.21249,0.2308,0.19723,0.21249,0.24454,0.23538,0.04919,0,1,0.33458
Q6NQ63,AT1G01440.1,0.83024,0.62439,1,0.31902,0.60049,0.04488,0.13366,0.26878,0.02293,0.14732,0
O03983,AT1G01470.1,0.92967,0.76225,0.97459,0.38612,0.53721,0,0.18875,0.26543,0.34165,1,0.00681
A0A1P8AS52,AT1G01490.4,0.58426,0.7301,0.87239,0.65273,1,0.01556,0.12317,0,0.01334,0.09115,0.00445
O23702,AT1G01510.1,0.96878,0.65716,1,0.23305,0.42546,0.02691,0.05678,0.40205,0.12648,0.30678,0
Q3EDL4,AT1G01540.2,0.74888,0.86126,1,0.54244,0.85641,0.03734,0.18193,0.10105,0.00798,0,0.06649
Q9LMM4,AT1G01570.2,0.12163,0.25894,0.17997,0.94441,1,0.05476,0.25977,0.51018,0.07512,0.09659,0
Q08733,AT1G01620.1,0.82211,0.73355,1,0.60752,0.737,0.0879,0.30365,0.01415,0,0.00601,0.03645
Q9LQ96,AT1G01630.1,0.67993,0.76903,1,0.36246,0.56315,0.09602,0.38235,0.02855,0.00346,0,0.04498
F4HU44,AT1G01650.2,0.05574,0.02873,0.05945,0.01201,0.03544,0.00672,0.00815,1,0.54838,0.47878,0
F4HU51,AT1G01710.1,0.22745,0.0593,0.23262,0.12064,0.03572,0.54366,0.56856,0.11787,0,1,0.57505
Q9LQ84,AT1G01725.1,0.07525,0.02493,0.06845,0.13554,0.10199,0.99003,1,0.034,0.01587,0,0.92384
Q9ZTZ7,AT1G01790.1,0,0.0561,0.02665,0.11781,0.03787,0.62833,0.1122,0.07854,0.07293,0.05049,1
Q94K30,AT1G01800.1,0.73949,0.49152,0.81945,0.11252,0.22497,0.02041,0.06497,0.22841,1,0,0.02813
Q9LQ73,AT1G01820.1,0.1831,0.14858,0.18251,0.60392,0.36594,0.67697,1,0.02483,0,0.01307,0.59532
Q949M9,AT1G01910.1,0.96334,0.65633,1,0.49685,0.60897,0.03991,0.19264,0.17894,0.36027,0,0.00695
Q9LPC8,AT1G01930.1,0.94909,0.55395,1,0.23936,0.37994,0.03419,0.11246,0.94149,0.5114,0.74848,0
Q9LPC7,AT1G01940.1,0.41169,0.32101,0.39063,0.28062,0.34121,0.11044,0.36098,0.13623,0.23206,1,0
A0A1P8AMI8,AT1G01950.4,0.71384,0.53552,0.74494,0.2428,0.37946,0.19144,0.25963,0.1903,0,1,0.23367
Q9LPC5,AT1G01960.1,0.62503,0.47041,0.54985,0.17972,0.3054,0.01606,0.10612,1,0.65042,0.43348,0
O23673,AT1G02020.1,0.26543,0.55556,0.42181,0.07819,0.2572,0.93621,1,0.65226,0,0.00206,0.73045
F4HVV7,AT1G02080.2,1,0.40059,0.80173,0.09457,0.23872,0.00592,0.09085,0.66802,0.58348,0.29195,0
Q94JU3,AT1G02090.1,0.64403,0.38188,0.62705,0.09119,0.17799,0.00644,0.03674,0.59265,1,0.55504,0
Q8VY08,AT1G02100.1,0.84182,0.54,1,0.06364,0.36727,0.05455,0,0.33636,0.06364,0.22,0.09273
Q56W45,AT1G02110.1,0.88701,0.77456,1,0.67249,0.80404,0.13073,0.26419,0.15475,0,0.20333,0.14247
F4HVW5,AT1G02120.1,0.63437,0.70727,0.68025,0.92042,1,0.08236,0.33791,0.11309,0,0.02998,0.03111
P28188,AT1G02130.1,0.69189,1,0.75303,0.52082,0.7365,0.02153,0.16881,0.12194,0.08078,0,0.00309
O23676,AT1G02140.1,0.1629,0.05193,0.11647,0.02322,0.03057,0.00356,0.02918,0.44343,0.5582,1,0
