ID1,ID2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
A0A1I9LRG4,AT3G50420.2,0.08105,0.04458,1,0.57447,0.05572,0,0.1844,0.50861,0.05572,0.04255
Q9SCS3,AT3G50520.1,0.37277,0.40728,0.00406,0,0.59171,0.77961,1,0.01392,0.54473,0.46049
Q9SCS2,AT3G50530.1,0.58002,1,0.10496,0.09351,0.81154,0,0.15309,0.08046,0.90867,0.73036
F4J0P2,AT3G50590.1,0.51406,0.93038,0.03023,0.02434,0.80527,0.17051,0.97078,0,1,0.59785
Q6NLV9,AT3G50620.1,0.00324,0,0.00972,1,0.06483,0.5624,0.1248,0.87196,0.03566,0.01945
O64989,AT3G50660.1,0.91801,0.56215,0.26965,0.09254,0.63142,0,0.06053,0.12871,0.5668,1
Q42404,AT3G50670.1,0.00092,0.00986,0,0.01062,0.03454,0.22384,1,0.01415,0.03988,0.00376
Q9SCQ7,AT3G50690.1,0.13065,0.07538,0,0.01005,0.05528,0.09045,1,0.1407,0.16583,0.1206
Q9SVM0,AT3G50780.1,0.72821,0.85128,0,0.04029,1,0.96337,0.34432,0.03297,0.98095,0.85861
Q9SVL9,AT3G50790.1,0.18293,0.08782,0.94262,0.90722,0.0986,0.42543,0,1,0.07777,0.22269
Q9SVL8,AT3G50800.1,0,0.01009,0.16418,1,0.02886,0.03497,0.53916,0.27335,0.01748,0.01237
Q9S841,AT3G50820.1,0.03473,0.00054,0.08064,0.77937,0.00891,0.03434,0.12409,1,0,0.05055
Q9SVL6,AT3G50830.1,0.55224,0.86461,0.21215,0.1194,0.72921,0,0.01173,0.17377,1,0.57569
Q8VZG2,AT3G50930.1,0.27912,0.11041,1,0.31103,0.08738,0,0.10152,0.44076,0.09452,0.26868
Q147F9,AT3G50940.1,0.83077,0.1218,1,0.19618,0.47219,0,0.45548,0.30809,0.22927,0.81406
Q38834,AT3G50950.1,0.58983,0.74232,0.10165,0.07861,0.81028,0,0.31501,0.04669,1,0.76773
Q6NPL9,AT3G50960.1,0.35578,0.37491,0,0.11871,0.54217,0.34018,1,0.11339,0.53154,0.4596
Q9SD45,AT3G51000.1,0.577,0.95048,0,0.09862,0.97188,0.98909,0.26185,0.10995,1,0.74738
Q9SD44,AT3G51010.1,0.02582,0,1,0.28047,0.02486,0.0056,0.06097,0.44605,0.00369,0.01528
Q9SD42,AT3G51040.1,0.62021,0.17122,0.15919,0,1,0.03281,0.013,0.01917,0.40708,0.7807
F4J381,AT3G51050.1,0.98021,0.32421,0.33088,0.08505,0.58601,0,0.06545,0.15462,0.40426,1
A0A1I9LRN1,AT3G51090.2,0.07001,0.00648,1,0.31491,0.04153,0,0.0193,0.3667,0.00502,0.05125
Q9SD36,AT3G51100.1,0.0439,0,1,0.32583,0.03236,0.24637,0.08242,0.38121,0.01439,0.02861
Q9SD34,AT3G51120.1,0.01323,0.01734,0,0.04509,0.04252,0.13451,1,0.04278,0.0379,0.0185
Q9SD33,AT3G51130.1,0.55758,0.6118,0,0.27783,0.77543,1,0.89251,0.22889,0.70202,0.70825
A0A1I9LRK5,AT3G51140.2,0.16486,0.02435,0.1258,0.90623,0.07294,0,0.08898,1,0.04187,0.19375
P93031,AT3G51160.1,0.56277,0.8446,0.01508,0,0.85307,1,0.08145,0.00843,0.84498,0.6252
Q9SD22,AT3G51250.1,0.62025,0.83317,0,0.04205,0.8446,1,0.67676,0.00135,0.95728,0.78944
Q2V3Q0,AT3G51260.2,0.05566,0.16216,0,0.01728,0.07861,1,0.16204,0.02209,0.09379,0.09601
F4J3B0,AT3G51270.2,0.15917,0.39446,0,0.02076,0.22837,1,0.22491,0.12111,0.29066,0.24221
A8R7K9,AT3G51310.1,0.31057,0.66437,0,0.03108,0.59681,0.95391,1,0.03189,0.71295,0.40728
F4J3C0,AT3G51350.1,0.84889,0.24033,0.20474,0,0.57659,0.09747,0.01135,0.11913,0.33987,1
Q9SD12,AT3G51370.1,0.53679,1,0.12224,0.08593,0.63698,0,0.0865,0.05523,0.78755,0.62557
Q7XA86,AT3G51390.1,0.28055,0.91496,0.2219,0.67351,0.58358,0,0.16618,0.76149,1,0.35288
Q9CAZ7,AT3G51430.1,1,0.30017,0.30635,0.08653,0.48847,0,0.02914,0.14906,0.36931,0.90997
Q9SD04,AT3G51450.1,1,0.37829,0.39901,0.17727,0.56687,0,0.10681,0.227,0.32233,0.94197
Q9C5G5,AT3G51460.1,1,0.58771,0.24694,0.08634,0.67379,0,0.25232,0.12903,0.69168,0.97487
Q9SCZ8,AT3G51510.1,0.10373,0,0.12939,0.8313,0.02114,0.14186,0.01527,1,0.00271,0.08168
Q9ASU1,AT3G51520.1,1,0.37199,0.2957,0.09033,0.6213,0,0.19072,0.14403,0.58193,0.85139
Q9SCZ4,AT3G51550.1,0.53434,1,0.09209,0.05757,0.72583,0,0.04216,0.03249,0.85408,0.60267
F4J4F8,AT3G51580.2,0.76304,0.06881,0.40597,0.05874,0.83277,0,0.05653,0.12836,0.21903,1
Q8L776,AT3G51610.1,1,0.26973,0.29435,0.05443,0.52701,0,0.06733,0.12131,0.37438,0.96887
Q9SCU5,AT3G51630.1,0.45255,0.51095,0.29927,0,1,0.61314,0.73723,0.38686,0.70073,0.43796
F4J4H2,AT3G51650.1,1,0.43368,0.17732,0,0.51817,0.23289,0.33979,0.04043,0.46169,0.86538
Q9SCU1,AT3G51670.1,0.60577,0.64571,0.06133,0.03351,1,0,0.07238,0.01853,0.92411,0.71074
